,team,team_score,opponent,opponent_score,home_team,opponent_strength,diff,adjusted_diff
1259,Hampton,73,High Point,76,High Point,44.0,-3,41.0
1260,San Francisco,85,Fordham,64,Fordham,35.90625,21,56.90625
1261,Miami (OH),75,Mercer,72,Mercer,38.0,3,41.0
1262,Creighton,53,San Diego St.,71,San Diego St.,56.762901306152344,-18,38.762901306152344
1263,Georgia St.,50,Austin Peay,62,Austin Peay,27.802383422851562,-12,15.802383422851562
1264,North Dakota,67,Bethune-Cookman,79,Bethune-Cookman,34.56894397735596,-12,22.568943977355957
1265,Louisiana Tech,65,Richmond,62,Richmond,37.78327751159668,3,40.78327751159668
1266,UConn,72,Colorado,73,Colorado,48.16218948364258,-1,47.16218948364258
1267,Denver,54,Utah Tech,68,Utah Tech,31.5,-14,17.5
1268,West Ga.,74,Utah Valley,77,Utah Valley,40.4375,-3,37.4375
1269,Clemson,75,Penn St.,67,Penn St.,55.418678283691406,8,63.418678283691406
1270,Bryant,97,Tennessee St.,85,Tennessee St.,28.0814208984375,12,40.0814208984375
1271,Texas A&M,70,Oregon,80,Oregon,61.0,-10,51.0
1272,UT Arlington,66,Murray St.,79,Murray St.,41.0,-13,28.0
1273,South Dakota St.,75,Missouri St.,55,Missouri St.,34.89060592651367,20,54.89060592651367
1274,Ball St.,94,Florida Tech,57,Florida Tech,,37,
1275,NJIT,53,Cleveland St.,56,Cleveland St.,33.3495569229126,-3,30.349556922912598
1276,Memphis,71,Michigan St.,63,Michigan St.,59.0,8,67.0
1277,Wyoming,64,Tulane,63,Tulane,39.40625,1,40.40625
1278,Western Ky.,68,Kentucky,87,Kentucky,64.28585815429688,-19,45.285858154296875
1279,Midway,60,Bellarmine,101,Bellarmine,24.193302154541016,-41,-16.806697845458984
1280,Radford,69,Purdue Fort Wayne,56,Purdue Fort Wayne,44.45025634765625,13,57.45025634765625
1281,VMI,67,Loyola Maryland,70,Loyola Maryland,33.0,-3,30.0
1282,St. Andrews,85,The Citadel,100,The Citadel,26.302054405212402,-15,11.302054405212402
1283,Coppin St.,54,Saint Joseph's,83,Saint Joseph's,47.125,-29,18.125
1284,Lehigh,78,Saint Francis,88,Saint Francis,29.625,-10,19.625
1285,Stanford,71,Grand Canyon,78,Grand Canyon,44.5,-7,37.5
1286,SUNY Maritime,52,Army West Point,91,Army West Point,32.4375,-39,-6.5625
1287,Manhattan,65,Virginia,74,Virginia,42.0,-9,33.0
1288,Western Caro.,57,Florida St.,91,Florida St.,51.0,-34,17.0
1289,Penn St.-Wilkes Barre,43,Delaware St.,111,Delaware St.,31.5625,-68,-36.4375
1290,Saint Peter's,78,FDU,76,FDU,30.0,2,32.0
1291,Wagner,41,Georgetown,66,Georgetown,49.0,-25,24.0
1292,North Dakota St.,98,Samford,103,Samford,46.603515625,-5,41.603515625
1293,Boise St.,61,Boston College,63,Boston College,33.0,-2,31.0
1294,Alabama,85,Houston,80,Houston,70.46302032470703,5,75.46302032470703
1295,Western Ill.,64,South Alabama,63,South Alabama,44.60335159301758,1,45.60335159301758
1296,USC Upstate,77,Iowa,110,Iowa,56.85523223876953,-33,23.85523223876953
1297,Texas Lutheran,45,A&M-Corpus Christi,94,A&M-Corpus Christi,41.939515113830566,-49,-7.060484886169434
1298,Northern N.M.,50,Northern Colo.,92,Northern Colo.,39.30857753753662,-42,-2.691422462463379
1299,Long Beach St.,44,UTEP,70,UTEP,47.0009765625,-26,21.0009765625
1300,LMU (CA),77,Belmont,63,Belmont,43.0,14,57.0
1301,Iowa St.,89,Dayton,84,Dayton,54.8515625,5,59.8515625
1302,Cal St. Fullerton,72,Pepperdine,63,Pepperdine,37.52598190307617,9,46.52598190307617
1303,Mississippi Val.,48,Utah,94,Utah,54.91191482543945,-46,8.911914825439453
1304,Eastern Mich.,72,Northern Ariz.,68,Northern Ariz.,34.625,4,38.625
1305,Abilene Christian,59,Montana St.,85,Montana St.,37.69123840332031,-26,11.691238403320312
1306,Kansas,75,Duke,72,Duke,70.61087036132812,3,73.61087036132812
1307,California Baptist,77,SMU,79,SMU,54.0,-2,52.0
1308,Eastern Wash.,51,UC Santa Barbara,67,UC Santa Barbara,41.879302978515625,-16,25.879302978515625
1309,Southern Utah,43,UCLA,88,UCLA,58.53903007507324,-45,13.539030075073242
1310,Grambling,79,Cal Poly,82,Cal Poly,37.0,-3,34.0
1311,Notre Dame,84,Rutgers,85,Rutgers,46.2373046875,-1,45.2373046875
1312,UNC Greensboro,64,San Jose St.,69,San Jose St.,41.194061279296875,-5,36.194061279296875
1313,Auburn,85,North Carolina,72,North Carolina,55.800048828125,13,68.800048828125
1314,Furman,61,Seattle U,56,Seattle U,37.345672607421875,5,42.345672607421875
1315,Fresno St.,73,Washington St.,84,Washington St.,48.521002769470215,-11,37.521002769470215
1316,Hawaii Pacific,63,Hawaii,67,Hawaii,40.7294921875,-4,36.7294921875
1317,Morgan St.,69,UMBC,92,UMBC,35.610870361328125,-23,12.610870361328125
1318,Indiana,61,Louisville,89,Louisville,59.125,-28,31.125
1319,Eastern Ky.,69,Louisiana Tech,78,Louisiana Tech,43.89247131347656,-9,34.89247131347656
1320,Rhode Island,81,Detroit Mercy,75,Detroit Mercy,31.45989990234375,6,37.45989990234375
1321,Southeastern La.,76,North Dakota,60,North Dakota,30.022171020507812,16,46.02217102050781
1322,Northern Ky.,64,Col. of Charleston,79,Col. of Charleston,46.56413459777832,-15,31.56413459777832
1323,UTSA,76,Merrimack,74,Merrimack,37.40948486328125,2,39.40948486328125
1324,Western Mich.,73,Youngstown St.,62,Youngstown St.,37.60734558105469,11,48.60734558105469
1325,Bryant,76,Chattanooga,84,Chattanooga,40.09202003479004,-8,32.09202003479004
1326,Presbyterian,75,Tennessee Tech,90,Tennessee Tech,30.19811248779297,-15,15.198112487792969
1327,New Orleans,60,Baylor,91,Baylor,60.4375,-31,29.4375
1328,ETSU,75,Charlotte,55,Charlotte,31.0,20,51.0
1329,Dalton St.,69,North Ala.,100,North Ala.,43.0,-31,12.0
1330,Tex. A&M-Kingsville,72,Texas Southern,80,Texas Southern,27.15625,-8,19.15625
1331,Stony Brook,54,Brown,77,Brown,33.9765625,-23,10.9765625
1332,Gonzaga,78,West Virginia,86,West Virginia,57.873186111450195,-8,49.873186111450195
1333,Tulsa,71,Georgia St.,74,Georgia St.,32.5,-3,29.5
1334,Colorado,71,Iowa St.,99,Iowa St.,67.490234375,-28,39.490234375
1335,Gardner-Webb,79,Bethune-Cookman,64,Bethune-Cookman,34.56894397735596,15,49.56894397735596
1336,Southern Ill.,81,Florida Tech,54,Florida Tech,,27,
1337,UT Martin,35,Tennessee,78,Tennessee,67.0,-43,24.0
1338,Canisius,64,Robert Morris,72,Robert Morris,38.625,-8,30.625
1339,Sam Houston,63,App State,66,App State,41.0,-3,38.0
1340,Sacramento St.,63,Air Force,61,Air Force,33.0,2,35.0
1341,Massachusetts,62,Harvard,54,Harvard,35.31565475463867,8,43.31565475463867
1342,NJIT,78,Morehead St.,69,Morehead St.,31.698020935058594,9,40.698020935058594
1343,Nazareth,63,Princeton,99,Princeton,41.56772041320801,-36,5.567720413208008
1344,San Diego St.,68,Oregon,78,Oregon,61.0,-10,51.0
1345,West Ga.,61,North Dakota St.,73,North Dakota St.,43.44704055786133,-12,31.447040557861328
1346,NIU,82,Valparaiso,87,Valparaiso,38.071725845336914,-5,33.071725845336914
1347,Bucknell,67,Maryland,91,Maryland,57.875,-24,33.875
1348,Providence,77,Oklahoma,79,Oklahoma,51.25,-2,49.25
1349,UT Arlington,68,Austin Peay,58,Austin Peay,27.802383422851562,10,37.80238342285156
1350,Memphis,76,Auburn,90,Auburn,72.0,-14,58.0
1351,Ball St.,60,Richmond,73,Richmond,37.78327751159668,-13,24.78327751159668
1352,Tulane,66,Belmont,89,Belmont,43.0,-23,20.0
1353,South Carolina,70,Virginia Tech,60,Virginia Tech,44.0,10,54.0
1354,UIW,86,Western Ill.,75,Western Ill.,26.802143096923828,11,37.80214309692383
1355,South Dakota,79,Nebraska,96,Nebraska,57.375003814697266,-17,40.375003814697266
1356,Averett,56,Winthrop,99,Winthrop,39.75,-43,-3.25
1357,Creighton,73,Texas A&M,77,Texas A&M,57.0,-4,53.0
1358,Lindenwood,61,Missouri,81,Missouri,57.5,-20,37.5
1359,Rider,48,Villanova,72,Villanova,52.3607063293457,-24,28.360706329345703
1360,Milwaukee,76,UCF,84,UCF,47.77423095703125,-8,39.77423095703125
1361,Colgate,72,UNCW,59,UNCW,43.11459541320801,13,56.11459541320801
1362,Plattsburgh St.,55,Vermont,78,Vermont,35.376458168029785,-23,12.376458168029785
1363,Cornell,72,Syracuse,82,Syracuse,44.265625,-10,34.265625
1364,Alabama St.,59,Cincinnati,77,Cincinnati,56.36847686767578,-18,38.36847686767578
1365,South Carolina St.,53,Marshall,82,Marshall,40.74160385131836,-29,11.74160385131836
1366,Arizona,104,Davidson,71,Davidson,44.52786827087402,33,77.52786827087402
1367,Charleston So.,67,Georgia Tech,91,Georgia Tech,42.76759338378906,-24,18.767593383789062
1368,UTEP,64,UNC Greensboro,58,UNC Greensboro,43.61507034301758,6,49.61507034301758
1369,Utah Valley,76,Samford,84,Samford,46.603515625,-8,38.603515625
1370,UMES,59,Little Rock,78,Little Rock,34.154296875,-19,15.154296875
1371,Northern Ariz.,74,Houston Christian,71,Houston Christian,31.0,3,34.0
1372,UMass Lowell,90,Saint Louis,93,Saint Louis,40.56315994262695,-3,37.56315994262695
1373,Xavier,53,Michigan,78,Michigan,63.375,-25,38.375
1374,Wyoming,70,LMU (CA),73,LMU (CA),37.18318176269531,-3,34.18318176269531
1375,CSUN,75,Montana,83,Montana,36.04423522949219,-8,28.044235229492188
1376,Stonehill,59,Marquette,94,Marquette,61.0,-35,26.0
1377,Michigan St.,94,North Carolina,91,North Carolina,55.800048828125,3,58.800048828125
1378,SMU,77,Washington St.,60,Washington St.,48.521002769470215,17,65.52100276947021
1379,Alabama,95,Rutgers,90,Rutgers,46.2373046875,5,51.2373046875
1380,Mercyhurst,55,California,81,California,43.625,-26,17.625
1381,Ark.-Pine Bluff,71,Pacific,83,Pacific,33.000003814697266,-12,21.000003814697266
1382,Marian (WI),64,San Diego,69,San Diego,29.0,-5,24.0
1383,San Jose St.,82,Long Beach St.,66,Long Beach St.,26.210067749023438,16,42.21006774902344
1384,California Baptist,86,Fresno St.,81,Fresno St.,33.3125,5,38.3125
1385,UConn,67,Dayton,85,Dayton,54.8515625,-18,36.8515625
1386,Houston,65,Notre Dame,54,Notre Dame,49.0,11,60.0
1387,Minnesota,66,Wichita St.,68,Wichita St.,41.0,-2,39.0
1388,West Virginia,70,Louisville,79,Louisville,59.125,-9,50.125
1389,UT Arlington,78,Rhode Island,83,Rhode Island,46.292715072631836,-5,41.292715072631836
1390,Florida,75,Wake Forest,58,Wake Forest,44.25,17,61.25
1391,Gonzaga,89,Indiana,73,Indiana,53.68782424926758,16,69.68782424926758
1392,NC State,61,Purdue,71,Purdue,58.23876953125,-10,48.23876953125
1393,Utah Valley,63,North Dakota St.,83,North Dakota St.,43.44704055786133,-20,23.447040557861328
1394,Santa Clara,69,TCU,52,TCU,52.66089630126953,17,69.66089630126953
1395,Illinois,90,Arkansas,77,Arkansas,50.15625,13,63.15625
1396,Arizona,77,Oklahoma,82,Oklahoma,51.25,-5,46.25
1397,BYU,85,Ole Miss,96,Ole Miss,59.0,-11,48.0
1398,Utah St.,72,St. Bonaventure,67,St. Bonaventure,51.0,5,56.0
1399,Washington,73,Colorado St.,67,Colorado St.,45.25,6,51.25
1400,Northwestern,69,Butler,71,Butler,48.984375,-2,46.984375
1401,Kennesaw St.,59,UC Irvine,76,UC Irvine,53.25519371032715,-17,36.25519371032715
1402,Davidson,69,Providence,58,Providence,46.339834213256836,11,57.339834213256836
1403,UNI,48,North Texas,68,North Texas,48.544921875,-20,28.544921875
1404,Saint Mary's (CA),71,Southern California,36,Southern California,49.875,35,84.875
1405,Kent St.,65,Towson,54,Towson,41.038469314575195,11,52.038469314575195
1406,Mississippi St.,80,UNLV,58,UNLV,46.0,22,68.0
1407,Arizona St.,85,New Mexico,82,New Mexico,49.0,3,52.0
1408,Providence,73,Indiana,89,Indiana,53.68782424926758,-16,37.68782424926758
1409,Alcorn,65,South Alabama,74,South Alabama,44.60335159301758,-9,35.60335159301758
1410,Dartmouth,88,Boston College,83,Boston College,33.0,5,38.0
1411,Colgate,50,App State,72,App State,41.0,-22,19.0
1412,Bowling Green,70,Weber St.,73,Weber St.,35.35505676269531,-3,32.35505676269531
1413,Minnesota,51,Wake Forest,57,Wake Forest,44.25,-6,38.25
1414,Valparaiso,70,DePaul,89,DePaul,45.95645523071289,-19,26.95645523071289
1415,VMI,64,George Washington,77,George Washington,40.943687438964844,-13,27.943687438964844
1416,Maine,69,Elon,56,Elon,45.33986282348633,13,58.33986282348633
1417,Tarleton St.,51,Iona,62,Iona,33.48098945617676,-11,22.480989456176758
1418,Judson (IL),41,Bradley,107,Bradley,46.970703125,-66,-19.029296875
1419,Niagara,65,Binghamton,62,Binghamton,28.0078125,3,31.0078125
1420,Merrimack,72,Troy,68,Troy,44.91935348510742,4,48.91935348510742
1421,TCU,72,Colorado St.,76,Colorado St.,45.25,-4,41.25
1422,Pittsburgh,91,Ohio St.,90,Ohio St.,57.4454345703125,1,58.4454345703125
1423,Morehead St.,71,Cleveland St.,69,Cleveland St.,33.3495569229126,2,35.3495569229126
1424,NIU,59,Eastern Ill.,72,Eastern Ill.,27.088623046875,-13,14.088623046875
1425,Arizona,76,West Virginia,83,West Virginia,57.873186111450195,-7,50.873186111450195
1426,Tennessee Tech,56,Vanderbilt,87,Vanderbilt,56.339805603027344,-31,25.339805603027344
1427,Pepperdine,82,New Mexico St.,70,New Mexico St.,39.890625,12,51.890625
1428,Wichita St.,51,Florida,88,Florida,60.25,-37,23.25
1429,NC State,61,BYU,72,BYU,54.12101936340332,-11,43.12101936340332
1430,Central Penn,36,Liberty,93,Liberty,48.06564807891846,-57,-8.934351921081543
1431,Holy Cross,41,Virginia,67,Virginia,42.0,-26,16.0
1432,Sam Houston,60,UNCW,69,UNCW,43.11459541320801,-9,34.11459541320801
1433,George Mason,66,James Madison,61,James Madison,41.66998291015625,5,46.66998291015625
1434,West Ga.,65,Samford,86,Samford,46.603515625,-21,25.603515625
1435,LIU,56,Lafayette,75,Lafayette,33.494476318359375,-19,14.494476318359375
1436,Navy,86,Penn,78,Penn,28.734375,8,36.734375
1437,Santa Clara,69,Washington,76,Washington,48.8575439453125,-7,41.8575439453125
1438,Indiana St.,81,Arkansas St.,86,Arkansas St.,44.92603874206543,-5,39.92603874206543
1439,Gardner-Webb,74,Belmont,83,Belmont,43.0,-9,34.0
1440,N.C. A&T,69,East Carolina,93,East Carolina,39.5,-24,15.5
1441,Oklahoma,69,Louisville,64,Louisville,59.125,5,64.125
1442,Ole Miss,78,Purdue,80,Purdue,58.23876953125,-2,56.23876953125
1443,Utah St.,61,North Texas,57,North Texas,48.544921875,4,52.544921875
1444,Seattle U,48,Duke,70,Duke,70.61087036132812,-22,48.610870361328125
1445,Rice,63,Hofstra,68,Hofstra,41.339805603027344,-5,36.339805603027344
1446,Georgia St.,76,Kentucky,105,Kentucky,64.28585815429688,-29,35.285858154296875
1447,Florida A&M,58,Clemson,86,Clemson,52.875,-28,24.875
1448,North Florida,78,SIUE,73,SIUE,35.90677261352539,5,40.90677261352539
1449,Elizabeth City St.,58,VCU,103,VCU,52.91224479675293,-45,7.91224479675293
1450,UNLV,61,Northwestern,66,Northwestern,51.85548400878906,-5,46.85548400878906
1451,Le Moyne,81,Manhattan,77,Manhattan,32.11865234375,4,36.11865234375
1452,Towson,63,Kennesaw St.,67,Kennesaw St.,38.63145065307617,-4,34.63145065307617
1453,SFA,68,ULM,60,ULM,25.25,8,33.25
1454,Northwestern St.,53,LSU,77,LSU,48.25,-24,24.25
1455,Northern Colo.,64,Texas Tech,89,Texas Tech,59.66176128387451,-25,34.66176128387451
1456,Davidson,65,Gonzaga,90,Gonzaga,60.60603332519531,-25,35.60603332519531
1457,Delaware St.,68,Texas,90,Texas,58.5625,-22,36.5625
1458,St. Bonaventure,68,UNI,56,UNI,45.306640625,12,57.306640625
1459,UC Irvine,51,Kent St.,39,Kent St.,45.10503387451172,12,57.10503387451172
1460,Butler,87,Mississippi St.,77,Mississippi St.,59.0,10,69.0
1461,Saint Mary's (CA),64,Arizona St.,68,Arizona St.,52.98872375488281,-4,48.98872375488281
1462,Mississippi Val.,48,UC Santa Barbara,81,UC Santa Barbara,41.879302978515625,-33,8.879302978515625
1463,Southern California,73,New Mexico,83,New Mexico,49.0,-10,39.0
1464,Southern U.,73,Louisiana Tech,70,Louisiana Tech,43.89247131347656,3,46.89247131347656
1465,Monmouth,63,Seton Hall,51,Seton Hall,42.18145751953125,12,54.18145751953125
1466,Colgate,78,Sam Houston,82,Sam Houston,38.53125,-4,34.53125
1467,Campbell,72,Green Bay,66,Green Bay,26.0,6,32.0
1468,Northeastern,64,Vermont,68,Vermont,35.376458168029785,-4,31.376458168029785
1469,Chicago St.,53,Wisconsin,74,Wisconsin,60.2333984375,-21,39.2333984375
1470,Central Ark.,68,Georgia Tech,87,Georgia Tech,42.76759338378906,-19,23.767593383789062
1471,Creighton,80,Notre Dame,76,Notre Dame,49.0,4,53.0
1472,Iona,80,Indiana St.,83,Indiana St.,37.97263717651367,-3,34.97263717651367
1473,Delaware,72,Rider,66,Rider,30.18145751953125,6,36.18145751953125
1474,Trinity Christian,49,IU Indy,106,IU Indy,30.29658031463623,-57,-26.70341968536377
1475,Purdue Fort Wayne,77,East Texas A&M,57,East Texas A&M,28.1328125,20,48.1328125
1476,Navy,63,Elon,69,Elon,45.33986282348633,-6,39.33986282348633
1477,Binghamton,75,LIU,70,LIU,30.25,5,35.25
1478,Milwaukee,65,Southern Miss.,66,Southern Miss.,34.387901306152344,-1,33.387901306152344
1479,Western Caro.,62,Marquette,94,Marquette,61.0,-32,29.0
1480,Mount St. Mary's,79,Howard,75,Howard,33.201011657714844,4,37.201011657714844
1481,Robert Morris,68,Ohio,84,Ohio,43.0,-16,27.0
1482,Charleston So.,83,Miami (FL),79,Miami (FL),41.625,4,45.625
1483,Pfeiffer,50,High Point,81,High Point,44.0,-31,13.0
1484,New Mexico St.,60,Bowling Green,61,Bowling Green,37.35507678985596,-1,36.35507678985596
1485,USC Upstate,51,Coastal Carolina,73,Coastal Carolina,35.0,-22,13.0
1486,App State,61,UNCW,76,UNCW,43.11459541320801,-15,28.114595413208008
1487,Virginia-Lynchburg,51,N.C. Central,131,N.C. Central,31.5078125,-80,-48.4921875
1488,Nicholls,76,Louisiana,75,Louisiana,32.498046875,1,33.498046875
1489,CSUN,72,Montana St.,69,Montana St.,37.69123840332031,3,40.69123840332031
1490,Texas A&M,81,Rutgers,77,Rutgers,46.2373046875,4,50.2373046875
1491,Temple,75,La Salle,83,La Salle,45.20273303985596,-8,37.20273303985596
1492,UAlbany,68,Georgetown,100,Georgetown,49.0,-32,17.0
1493,Houston Christian,71,UTSA,78,UTSA,35.75,-7,28.75
1494,Austin Peay,57,ETSU,79,ETSU,40.62460803985596,-22,18.624608039855957
1495,Hofstra,59,Tarleton St.,61,Tarleton St.,34.419921875,-2,32.419921875
1496,Niagara,47,Lafayette,59,Lafayette,33.494476318359375,-12,21.494476318359375
1497,Maine,64,Penn,77,Penn,28.734375,-13,15.734375
1498,Weber St.,68,Pepperdine,53,Pepperdine,37.52598190307617,15,52.52598190307617
1499,Prairie View,74,A&M-Corpus Christi,109,A&M-Corpus Christi,41.939515113830566,-35,6.939515113830566
1500,Harvard,64,St. John's (NY),77,St. John's (NY),57.9224910736084,-13,44.9224910736084
1501,Eastern Wash.,80,Utah,88,Utah,54.91191482543945,-8,46.91191482543945
1502,UC Riverside,68,Idaho,80,Idaho,31.292953491210938,-12,19.292953491210938
1503,Aurora,76,UIC,91,UIC,44.3359375,-15,29.3359375
1504,Siena,71,Bucknell,58,Bucknell,36.25688362121582,13,49.25688362121582
1505,Bellarmine,70,Northern Ky.,86,Northern Ky.,37.904457092285156,-16,21.904457092285156
1506,FGCU,80,Fla. Atlantic,78,Fla. Atlantic,43.4375,2,45.4375
1507,Bethany (WV),60,Youngstown St.,128,Youngstown St.,37.60734558105469,-68,-30.392654418945312
1508,Furman,51,Kansas,86,Kansas,61.3800048828125,-35,26.3800048828125
1509,Ga. Southern,47,Drake,61,Drake,48.5859375,-14,34.5859375
1510,La Verne,33,UC San Diego,109,UC San Diego,53.801963806152344,-76,-22.198036193847656
1511,Air Force,57,Wright St.,70,Wright St.,37.999267578125,-13,24.999267578125
1512,Arkansas St.,67,Rice,75,Rice,39.31210708618164,-8,31.31210708618164
1513,Marist,69,Lehigh,74,Lehigh,33.427001953125,-5,28.427001953125
1514,Detroit Mercy,98,Eastern Mich.,89,Eastern Mich.,25.0,9,34.0
1515,Jacksonville,56,Georgia,102,Georgia,52.610870361328125,-46,6.610870361328125
1516,UMES,45,UConn,99,UConn,60.875,-54,6.875
1517,Oakland,85,Toledo,52,Toledo,41.0,33,74.0
1518,Our Lady of the Lake,54,Lamar University,88,Lamar University,31.11251449584961,-34,-2.8874855041503906
1519,San Diego St.,73,Houston,70,Houston,70.46302032470703,3,73.46302032470703
1520,Kent St.,67,Kennesaw St.,60,Kennesaw St.,38.63145065307617,7,45.63145065307617
1521,Cal St. Fullerton,55,Pacific,64,Pacific,33.000003814697266,-9,24.000003814697266
1522,Mercyhurst,66,Sacramento St.,60,Sacramento St.,27.0,6,33.0
1523,Utah Tech,68,Portland St.,71,Portland St.,36.0,-3,33.0
1524,Lipscomb,82,Alabama A&M,44,Alabama A&M,20.82607936859131,38,58.82607936859131
1525,Marshall,82,Western Ky.,90,Western Ky.,46.306640625,-8,38.306640625
1526,Abilene Christian,71,Omaha,55,Omaha,38.022769927978516,16,54.022769927978516
1527,Kansas City,59,Southeast Mo. St.,80,Southeast Mo. St.,32.300872802734375,-21,11.300872802734375
1528,CSU Bakersfield,64,Southern Utah,74,Southern Utah,37.0,-10,27.0
1529,UC Irvine,67,Towson,60,Towson,41.038469314575195,7,48.038469314575195
1530,Oregon,83,Alabama,81,Alabama,62.875,2,64.875
1531,Cal Poly,97,Stanford,90,Stanford,48.0,7,55.0
1532,UC Davis,57,Oregon St.,90,Oregon St.,50.53125,-33,17.53125
1533,Maine,71,Navy,66,Navy,33.2579345703125,5,38.2579345703125
1534,NJIT,68,Massachusetts,80,Massachusetts,39.0,-12,27.0
1535,Alcorn,58,Maryland,96,Maryland,57.875,-38,19.875
1536,LIU,52,Niagara,60,Niagara,31.9765625,-8,23.9765625
1537,UMass Lowell,67,Central Conn. St.,69,Central Conn. St.,39.494476318359375,-2,37.494476318359375
1538,Norfolk St.,77,Stony Brook,66,Stony Brook,28.24609375,11,39.24609375
1539,Regent,55,Longwood,108,Longwood,36.133544921875,-53,-16.866455078125
1540,Ark.-Pine Bluff,73,Kansas St.,120,Kansas St.,45.033705711364746,-47,-1.966294288635254
1541,FDU,74,Fairfield,78,Fairfield,31.90625,-4,27.90625
1542,UNC Asheville,92,Tennessee St.,74,Tennessee St.,28.0814208984375,18,46.0814208984375
